series,comparison,metric,n_present,n_a_valid,n_b_valid,n_gated_both_valid,inconclusive_lt_min,gate,mean_a,mean_b,median_a,median_b,ungated_note,mean_diff_a_minus_b,ci95_lo,ci95_hi,cohen_dz,wins,losses,p_wilcoxon
standard,AB-noaux-kraus vs M0-noaux,valid_prediction_time,20,0,1,0,True,teacher_forced_ok & out_of_range<= 0.5,5.75,10.85,4.0,12.0,n_gated=0; means shown are ungated (all seeds),,,,,,,
standard,AB-noaux-kraus vs M0-noaux,nrmse_150,20,0,1,0,True,teacher_forced_ok & out_of_range<= 0.5,2.435127846526689,6.193277549625313,2.427384016261893,5.017518910084286,n_gated=0; means shown are ungated (all seeds),,,,,,,
standard,AB-noaux-kraus vs M0-noaux,mse_150,20,0,1,0,True,teacher_forced_ok & out_of_range<= 0.5,0.3610790148974169,3.159916714741966,0.3513924074688888,1.506806199046888,n_gated=0; means shown are ungated (all seeds),,,,,,,
standard,AB-noaux-kraus vs M0-noaux,r2_150,20,0,1,0,True,teacher_forced_ok & out_of_range<= 0.5,-5.0562122324220855,-51.99982959877133,-4.8937432215437076,-24.272967295398686,n_gated=0; means shown are ungated (all seeds),,,,,,,
standard,ABC-noaux-kraus vs AB-noaux-kraus,valid_prediction_time,20,0,0,0,True,teacher_forced_ok & out_of_range<= 0.5,1.15,5.75,1.0,4.0,n_gated=0; means shown are ungated (all seeds),,,,,,,
standard,ABC-noaux-kraus vs AB-noaux-kraus,nrmse_150,20,0,0,0,True,teacher_forced_ok & out_of_range<= 0.5,1.334915448686163,2.435127846526689,0.8348771056296919,2.427384016261893,n_gated=0; means shown are ungated (all seeds),,,,,,,
standard,ABC-noaux-kraus vs AB-noaux-kraus,mse_150,20,0,0,0,True,teacher_forced_ok & out_of_range<= 0.5,0.17537369055573165,0.3610790148974169,0.041557370965832396,0.3513924074688888,n_gated=0; means shown are ungated (all seeds),,,,,,,
standard,ABC-noaux-kraus vs AB-noaux-kraus,r2_150,20,0,0,0,True,teacher_forced_ok & out_of_range<= 0.5,-1.9414622455707438,-5.0562122324220855,0.30297733181176556,-4.8937432215437076,n_gated=0; means shown are ungated (all seeds),,,,,,,
standard,ABC-noaux-hierarchical vs ABC-noaux-tied,valid_prediction_time,20,0,20,0,True,teacher_forced_ok & out_of_range<= 0.5,1.15,40.95,1.0,42.5,n_gated=0; means shown are ungated (all seeds),,,,,,,
standard,ABC-noaux-hierarchical vs ABC-noaux-tied,nrmse_150,20,0,20,0,True,teacher_forced_ok & out_of_range<= 0.5,1.334915448686163,0.7719063614392944,0.8348771056296919,0.6620952081053564,n_gated=0; means shown are ungated (all seeds),,,,,,,
standard,ABC-noaux-hierarchical vs ABC-noaux-tied,mse_150,20,0,20,0,True,teacher_forced_ok & out_of_range<= 0.5,0.17537369055573165,0.0403196510991407,0.041557370965832396,0.0261410142886688,n_gated=0; means shown are ungated (all seeds),,,,,,,
standard,ABC-noaux-hierarchical vs ABC-noaux-tied,r2_150,20,0,20,0,True,teacher_forced_ok & out_of_range<= 0.5,-1.9414622455707438,0.3237370378254192,0.30297733181176556,0.5615487913416004,n_gated=0; means shown are ungated (all seeds),,,,,,,
standard,AB-embedded vs AB-Markov,valid_prediction_time,20,19,0,0,True,teacher_forced_ok & out_of_range<= 0.5,34.45,2.1,42.0,2.0,n_gated=0; means shown are ungated (all seeds),,,,,,,
standard,AB-embedded vs AB-Markov,nrmse_150,20,19,0,0,True,teacher_forced_ok & out_of_range<= 0.5,0.8469655091464435,0.984150423099833,0.8435760621559751,0.9807905870220016,n_gated=0; means shown are ungated (all seeds),,,,,,,
standard,AB-embedded vs AB-Markov,mse_150,20,19,0,0,True,teacher_forced_ok & out_of_range<= 0.5,0.04715739541899454,0.05775797356378415,0.042626300541122944,0.057352735558346704,n_gated=0; means shown are ungated (all seeds),,,,,,,
standard,AB-embedded vs AB-Markov,r2_150,20,19,0,0,True,teacher_forced_ok & out_of_range<= 0.5,0.20905069748565067,0.03125207617983972,0.285048667717809,0.038048946848908444,n_gated=0; means shown are ungated (all seeds),,,,,,,
standard,ABC-embedded-hierarchical vs AB-embedded,valid_prediction_time,20,19,19,18,True,teacher_forced_ok & out_of_range<= 0.5,28.61111111111111,35.111111111111114,28.0,42.0,,-6.5,-12.168055555555554,-0.9430555555555631,-0.518222799642366,5.0,12.0,0.05388598318495359
standard,ABC-embedded-hierarchical vs AB-embedded,nrmse_150,20,19,19,18,True,teacher_forced_ok & out_of_range<= 0.5,1.2307454506793727,0.8004675860308205,1.267403134602349,0.7697879961650556,,0.43027786464855244,0.3011369443097354,0.5556861801489731,1.5362941195134114,17.0,1.0,1.52587890625e-05
standard,ABC-embedded-hierarchical vs AB-embedded,mse_150,20,19,19,18,True,teacher_forced_ok & out_of_range<= 0.5,0.09870835251963633,0.04154039501875113,0.0957710553532114,0.035345390392950246,,0.0571679575008852,0.03661521530366597,0.07874524032342511,1.1928400149289096,17.0,1.0,1.52587890625e-05
standard,ABC-embedded-hierarchical vs AB-embedded,r2_150,20,19,19,18,True,teacher_forced_ok & out_of_range<= 0.5,-0.6555897942213249,0.30326206156378305,-0.6063238599088174,0.4071680246542875,,-0.9588518557851078,-1.320757695728264,-0.6141301644955179,-1.1928400149289096,1.0,17.0,1.52587890625e-05
standard,ABC-embedded-hierarchical vs ABC-embedded-tied,valid_prediction_time,20,19,18,17,True,teacher_forced_ok & out_of_range<= 0.5,29.0,35.294117647058826,28.0,36.0,,-6.294117647058823,-14.53235294117647,1.4705882352941178,-0.37211679855317176,4.0,12.0,0.10846758424799884
standard,ABC-embedded-hierarchical vs ABC-embedded-tied,nrmse_150,20,19,18,17,True,teacher_forced_ok & out_of_range<= 0.5,1.164151648177014,1.018203488263296,1.1209200571975124,1.0303769789706554,,0.1459481599137183,-0.025902413904300512,0.3283319368313522,0.37451101712457835,12.0,5.0,0.1454315185546875
standard,ABC-embedded-hierarchical vs ABC-embedded-tied,mse_150,20,19,18,17,True,teacher_forced_ok & out_of_range<= 0.5,0.08664040721707568,0.06504187591508939,0.0749118363801755,0.0632985055756333,,0.02159853130198627,0.00013752449555499565,0.04442057797001781,0.44016656707106827,12.0,5.0,0.0983734130859375
standard,ABC-embedded-hierarchical vs ABC-embedded-tied,r2_150,20,19,18,17,True,teacher_forced_ok & out_of_range<= 0.5,-0.4531796985187752,-0.09091746760346565,-0.2564617746276747,-0.0616767187926945,,-0.36226223091530946,-0.7450459222885326,-0.0023066351072063853,-0.44016656707106827,5.0,12.0,0.0983734130859375
standard,ABC-embedded-hierarchical vs ABC-noaux-hierarchical,valid_prediction_time,20,19,0,0,True,teacher_forced_ok & out_of_range<= 0.5,28.25,1.15,28.0,1.0,n_gated=0; means shown are ungated (all seeds),,,,,,,
standard,ABC-embedded-hierarchical vs ABC-noaux-hierarchical,nrmse_150,20,19,0,0,True,teacher_forced_ok & out_of_range<= 0.5,1.6289958788618104,1.334915448686163,1.267403134602349,0.8348771056296919,n_gated=0; means shown are ungated (all seeds),,,,,,,
standard,ABC-embedded-hierarchical vs ABC-noaux-hierarchical,mse_150,20,19,0,0,True,teacher_forced_ok & out_of_range<= 0.5,0.35430200873081424,0.17537369055573165,0.0957710553532114,0.041557370965832396,n_gated=0; means shown are ungated (all seeds),,,,,,,
standard,ABC-embedded-hierarchical vs ABC-noaux-hierarchical,r2_150,20,19,0,0,True,teacher_forced_ok & out_of_range<= 0.5,-4.942544625189251,-1.9414622455707438,-0.6063238599088174,0.30297733181176556,n_gated=0; means shown are ungated (all seeds),,,,,,,
two_delay,AB-noaux-kraus vs M0-noaux,valid_prediction_time,20,19,19,18,True,teacher_forced_ok & out_of_range<= 0.5,660.8333333333334,622.3333333333334,656.0,852.0,,38.5,-212.0986111111111,298.12916666666655,0.0689116722962697,7.0,8.0,0.6909447568979337
two_delay,AB-noaux-kraus vs M0-noaux,nrmse_150,20,19,19,18,True,teacher_forced_ok & out_of_range<= 0.5,0.04607112010210862,0.13549037539706163,0.038221314416718596,0.0122345008873674,,-0.08941925529495298,-0.21431333459461496,0.008935095390251733,-0.36449102449868437,14.0,4.0,0.4171142578125
two_delay,AB-noaux-kraus vs M0-noaux,mse_150,20,19,19,18,True,teacher_forced_ok & out_of_range<= 0.5,0.0003617921562141543,0.00846341404232961,0.00017538969345249998,1.7944642641532386e-05,,-0.008101621886115457,-0.016356707928912872,-0.0014474273739099655,-0.48822878342399195,14.0,4.0,0.4171142578125
two_delay,AB-noaux-kraus vs M0-noaux,r2_150,20,19,19,18,True,teacher_forced_ok & out_of_range<= 0.5,0.9969671583405846,0.9290526501263828,0.9985297382494385,0.9998495731352055,,0.06791450821420181,0.012133535686642596,0.1371154801607369,0.48822878342398945,4.0,14.0,0.4171142578125
two_delay,ABC-noaux-kraus vs AB-noaux-kraus,valid_prediction_time,20,20,19,19,True,teacher_forced_ok & out_of_range<= 0.5,902.7368421052631,634.8421052631579,1000.0,656.0,,267.89473684210526,88.48947368421052,445.64078947368415,0.6498136766139532,12.0,2.0,0.010988196340194302
two_delay,ABC-noaux-kraus vs AB-noaux-kraus,nrmse_150,20,20,19,19,True,teacher_forced_ok & out_of_range<= 0.5,0.018880992287283616,0.04753428092683978,0.0166284920660108,0.041286094151027,,-0.028653288639556157,-0.044210775415233286,-0.015097497418537647,-0.8494678306384024,2.0,17.0,0.000125885009765625
two_delay,ABC-noaux-kraus vs AB-noaux-kraus,mse_150,20,20,19,19,True,teacher_forced_ok & out_of_range<= 0.5,4.847548424980217e-05,0.0003770119211217619,3.298489797415077e-05,0.0002033372787999,,-0.0003285364368719597,-0.0005815315642472916,-0.00012329130158871132,-0.5967444005285855,2.0,17.0,0.000164031982421875
two_delay,ABC-noaux-kraus vs AB-noaux-kraus,r2_150,20,20,19,19,True,teacher_forced_ok & out_of_range<= 0.5,0.999593638320876,0.996839573658978,0.9997234932516106,0.9982954584297524,,0.002754064661897695,0.0010335298576248072,0.004874879468835388,0.5967444005286469,17.0,2.0,0.000164031982421875
two_delay,ABC-noaux-hierarchical vs ABC-noaux-tied,valid_prediction_time,20,20,0,0,True,teacher_forced_ok & out_of_range<= 0.5,870.45,1.0,1000.0,1.0,n_gated=0; means shown are ungated (all seeds),,,,,,,
two_delay,ABC-noaux-hierarchical vs ABC-noaux-tied,nrmse_150,20,20,0,0,True,teacher_forced_ok & out_of_range<= 0.5,0.02065419545762438,2.9477698756977593,0.01702665147976315,2.9550687732372634,n_gated=0; means shown are ungated (all seeds),,,,,,,
two_delay,ABC-noaux-hierarchical vs ABC-noaux-tied,mse_150,20,20,0,0,True,teacher_forced_ok & out_of_range<= 0.5,6.366739320899707e-05,1.0380938741638792,3.4602328519100614e-05,1.0417091774868337,n_gated=0; means shown are ungated (all seeds),,,,,,,
two_delay,ABC-noaux-hierarchical vs ABC-noaux-tied,r2_150,20,20,0,0,True,teacher_forced_ok & out_of_range<= 0.5,0.9994662871509125,-7.7021630896945625,0.9997099346084679,-7.732469558038196,n_gated=0; means shown are ungated (all seeds),,,,,,,
two_delay,AB-embedded vs AB-Markov,valid_prediction_time,20,20,20,20,False,teacher_forced_ok & out_of_range<= 0.5,1000.0,3.2,1000.0,3.0,,996.8,996.45,997.1,1298.3022760513052,20.0,0.0,1.9073486328125e-06
two_delay,AB-embedded vs AB-Markov,nrmse_150,20,20,20,20,False,teacher_forced_ok & out_of_range<= 0.5,0.006647344456727785,0.386555882488864,0.006172866329259501,0.3804118495183903,,-0.3799085380321362,-0.4184594006732951,-0.34395775590583805,-4.414625018013818,0.0,20.0,1.9073486328125e-06
two_delay,AB-embedded vs AB-Markov,mse_150,20,20,20,20,False,teacher_forced_ok & out_of_range<= 0.5,5.712072908758914e-06,0.018678079349860634,4.546094335557232e-06,0.017264680418262048,,-0.018672367276951877,-0.022503150139609226,-0.01530452619284167,-2.232632745218914,0.0,20.0,1.9073486328125e-06
two_delay,AB-embedded vs AB-Markov,r2_150,20,20,20,20,False,teacher_forced_ok & out_of_range<= 0.5,0.9999521166714598,0.843424860939807,0.9999618908700708,0.8552731420246729,,0.1565272557316527,0.128295220938358,0.18864005213833748,2.232632745218921,20.0,0.0,1.9073486328125e-06
two_delay,ABC-embedded-hierarchical vs AB-embedded,valid_prediction_time,20,20,20,20,False,teacher_forced_ok & out_of_range<= 0.5,910.4,1000.0,1000.0,1000.0,,-89.6,-176.65125,-19.527500000000124,-0.45919560125952075,0.0,7.0,0.017960477526078766
two_delay,ABC-embedded-hierarchical vs AB-embedded,nrmse_150,20,20,20,20,False,teacher_forced_ok & out_of_range<= 0.5,0.018968625297512795,0.006647344456727785,0.01583621634815855,0.006172866329259501,,0.012321280840785011,0.008814139076889816,0.016362225678593155,1.3702461843098097,20.0,0.0,1.9073486328125e-06
two_delay,ABC-embedded-hierarchical vs AB-embedded,mse_150,20,20,20,20,False,teacher_forced_ok & out_of_range<= 0.5,5.055896504752112e-05,5.712072908758914e-06,2.9932235172797923e-05,4.546094335557232e-06,,4.484689213876221e-05,2.5755867103450243e-05,6.853026382692383e-05,0.8772534148689184,20.0,0.0,1.9073486328125e-06
two_delay,ABC-embedded-hierarchical vs AB-embedded,r2_150,20,20,20,20,False,teacher_forced_ok & out_of_range<= 0.5,0.999576172858313,0.9999521166714598,0.9997490832008593,0.9999618908700708,,-0.0003759438131468007,-0.0005744774603183269,-0.000215907021155793,-0.8772534148689923,0.0,20.0,1.9073486328125e-06
two_delay,ABC-embedded-hierarchical vs ABC-embedded-tied,valid_prediction_time,20,20,12,12,True,teacher_forced_ok & out_of_range<= 0.5,980.0,304.4166666666667,1000.0,182.0,,675.5833333333334,503.49375,814.925,2.327165251270438,11.0,0.0,0.0033456181158508813
two_delay,ABC-embedded-hierarchical vs ABC-embedded-tied,nrmse_150,20,20,12,12,True,teacher_forced_ok & out_of_range<= 0.5,0.015591897160815368,0.15052495705999577,0.0150111944300954,0.09522021849204745,,-0.1349330598991804,-0.2578840745229957,-0.052310901233575194,-0.6524605132432253,0.0,12.0,0.00048828125
two_delay,ABC-embedded-hierarchical vs ABC-embedded-tied,mse_150,20,20,12,12,True,teacher_forced_ok & out_of_range<= 0.5,2.9810896701719443e-05,0.007429432849210212,2.690623267752479e-05,0.0011007781250159001,,-0.007399621952508493,-0.01946154512662414,-0.0007816045357982096,-0.35964983168602654,0.0,12.0,0.00048828125
two_delay,ABC-embedded-hierarchical vs ABC-embedded-tied,r2_150,20,20,12,12,True,teacher_forced_ok & out_of_range<= 0.5,0.9997501003604734,0.93772033731551,0.9997744496613299,0.9907723655751532,,0.06202976304496338,0.00655205691069085,0.16314279843500798,0.359649831686029,12.0,0.0,0.00048828125
two_delay,ABC-embedded-hierarchical vs ABC-noaux-hierarchical,valid_prediction_time,20,20,20,20,False,teacher_forced_ok & out_of_range<= 0.5,910.4,870.45,1000.0,1000.0,,39.95,-57.45125,157.30624999999998,0.15802056411529328,3.0,5.0,0.6744240722352938
two_delay,ABC-embedded-hierarchical vs ABC-noaux-hierarchical,nrmse_150,20,20,20,20,False,teacher_forced_ok & out_of_range<= 0.5,0.018968625297512795,0.02065419545762438,0.01583621634815855,0.01702665147976315,,-0.0016855701601115852,-0.007470512030866729,0.003102970776254635,-0.1349268110785727,9.0,11.0,0.7011814117431641
two_delay,ABC-embedded-hierarchical vs ABC-noaux-hierarchical,mse_150,20,20,20,20,False,teacher_forced_ok & out_of_range<= 0.5,5.055896504752112e-05,6.366739320899707e-05,2.9932235172797923e-05,3.4602328519100614e-05,,-1.3108428161475938e-05,-5.7745669008772104e-05,2.1400110726567897e-05,-0.13895974710245879,9.0,11.0,0.7011814117431641
two_delay,ABC-embedded-hierarchical vs ABC-noaux-hierarchical,r2_150,20,20,20,20,False,teacher_forced_ok & out_of_range<= 0.5,0.999576172858313,0.9994662871509125,0.9997490832008593,0.9997099346084679,,0.00010988570740060876,-0.00017939346172343788,0.0004840720496908586,0.13895974710245515,11.0,9.0,0.7011814117431641
